更为,159.4752195903684,pos,2,d
融合,156.23377590296906,pos,2,vn
不仅仅,155.67728444362433,pos,3,d
结合,148.32815581470533,pos,2,v
不愧为,147.34037620515133,pos,3,v
并存,146.3779472204458,pos,2,v
未必,144.3385660761129,pos,2,d
诙谐,143.86062447619645,pos,2,a
伤感,141.90251264164033,pos,2,n
智慧,139.77821136296643,pos,2,nr
上校,137.63870583538943,pos,2,j
永恒,134.9589159350071,pos,2,z
交织,134.75874665830497,pos,2,n
告别,130.44642576690612,pos,2,v
流畅,129.49170104793274,pos,2,a
穿梭,128.70626541977964,pos,2,v
街头,127.88156923353029,pos,2,s
大赞,127.46740184503251,pos,2,nr
超越,126.93928336791612,pos,2,v
遗憾,126.7374876742474,pos,2,a
发人深省,126.56027722917435,pos,4,l
兼具,125.72125113014788,pos,2,v
光辉,125.1780625566638,pos,2,nr
享受,124.68264275238302,pos,2,v
世间,124.63324766846007,pos,2,n
诠释,124.46573632756014,pos,2,v
非凡,124.36463886557856,pos,2,d
Kevin,122.80776843721539,pos,5,eng
推向,122.52691174183481,pos,2,v
有力,122.18169732984411,pos,2,n
最为,121.96248804655451,pos,2,d
有度,121.8393279647676,pos,2,v
世人,121.68442142324065,pos,2,n
恐惧,121.34819405033608,pos,2,an
现实生活,120.87217274294038,pos,4,n
赋予,120.735898474584,pos,2,v
真诚,120.59113349598701,pos,2,a
无声,120.57152849888658,pos,2,d
银,120.5605196161449,pos,1,ng
流泪,120.31314350616495,pos,2,n
绝佳,120.29081647478583,pos,2,z
来自,120.09272369427147,pos,2,v
小小,119.70628799898864,pos,2,b
唏嘘,119.4463000236369,pos,2,v
感叹,119.4045310155411,pos,2,v
认知,119.19860306359269,pos,2,v
瑞恩,118.82702132434142,pos,2,nr
考究,118.5085434911116,pos,2,vn
人情,118.36491094178682,pos,2,n
触,118.21918625395064,pos,1,v
干净利落,118.19220758891075,pos,4,n
原,118.11285750168972,pos,1,n
行云流水,117.92675536987481,pos,4,n
太棒了,117.17236683815393,pos,3,nr
巧妙,116.71337346893733,pos,2,a
特殊,116.47561767329566,pos,2,a
结尾处,116.45193988028839,pos,3,n
褒曼,116.11166546146724,pos,2,nrt
已然,116.06581214656833,pos,2,d
除此之外,116.04115961233275,pos,4,c
共同,115.69014030149596,pos,2,d
一如,115.49478841266443,pos,2,c
深思,115.26714841584165,pos,2,n
独特,115.22462235735911,pos,2,a
神秘,114.95723149901929,pos,2,a
超现实,114.60262957795811,pos,3,n
精湛,114.51779494708526,pos,2,a
回味,114.46519751355541,pos,2,v
心中,114.2500381011295,pos,2,s
轻松,113.73007999477987,pos,2,a
感激,113.67012043002663,pos,2,v
莫过于,113.57866255292264,pos,3,d
温柔,113.36473141482458,pos,2,a
还原,113.33150296218484,pos,2,v
交替,113.269993078212,pos,2,v
摇滚乐,112.88937061153494,pos,3,i
一气呵成,112.88116549928287,pos,4,i
尿,112.71451741955418,pos,1,n
在于,112.69223278525041,pos,2,v
些许,112.67377716340731,pos,2,d
丰富,112.49025992539548,pos,2,a
伴,112.46799612156784,pos,1,v
玩味,112.38704399729396,pos,2,n
佳片,112.27346522236184,pos,2,n
温暖,112.21254367339967,pos,2,an
勇敢,111.95723465835445,pos,2,a
扣人心弦,111.81147474845497,pos,4,i
残酷,111.74226384171752,pos,2,a
并非,111.70332768587188,pos,2,c
保罗,111.69153539199249,pos,2,nrt
带泪,111.53299304472428,pos,2,v
黑色,111.43085909461266,pos,2,n
能否,111.24702118521493,pos,2,v
张弛,111.20194110281658,pos,2,nrfg
来源于,110.81471965679027,pos,3,v
完美,110.81186228125574,pos,2,a
纯真,110.44550791656376,pos,2,a
最美,110.26612108959064,pos,2,a
开放式,110.06946011361617,pos,3,nz
热泪盈眶,110.02327304083416,pos,4,l
